link,square_meters,rooms,metro_station,minutes_to_metro,renovation_type,price,price_per_meter
https://www.cian.ru/sale/flat/315066630/,30.8,1,Беляево,11,,8999000,292175
https://www.cian.ru/sale/flat/313005005/,47.9,1,Мякинино,3,,13220300,275998
https://www.cian.ru/sale/flat/313005151/,57.9,1,Мякинино,3,,15447200,266791
https://www.cian.ru/sale/flat/314365763/,33.5,1,Улица Старокачаловская,11,,9500000,283582
https://www.cian.ru/sale/flat/314147412/,41.8,1,Ясенево,4,Косметический ремонт,10480000,250718
https://www.cian.ru/sale/flat/311419733/,34.1,1,Воронцовская,6,,19000000,557185
https://www.cian.ru/sale/flat/315868455/,33,1,Свиблово,5,,8799000,266636
https://www.cian.ru/sale/flat/315657059/,43,1,Шелепиха,14,,30800000,716279
https://www.cian.ru/sale/flat/314794936/,35,1,Беляево,10,Дизайнерский ремонт,11900000,340000
https://www.cian.ru/sale/flat/315588288/,32.8,1,Пражская,9,,8000000,243902
https://www.cian.ru/sale/flat/314469865/,43,1,Шелепиха,14,,32500000,755814
https://www.cian.ru/sale/flat/287678758/,46,1,Давыдково,4,,35000000,760870
https://www.cian.ru/sale/flat/315905083/,41,1,Улица Сергея Эйзенштейна,10,Косметический ремонт,12200000,297561
https://www.cian.ru/sale/flat/286538689/,46.1,1,Крёкшино,10,,8800000,190889
https://www.cian.ru/sale/flat/312025520/,43.4,1,м. Шелепиха,,,21700000,500000
https://www.cian.ru/sale/flat/303370489/,44.9,1,Крёкшино,18,,5800000,129176
https://www.cian.ru/sale/flat/315253213/,78,1,Москва-Сити,4,,92880000,1190769
https://www.cian.ru/sale/flat/312870649/,50.5,1,Смоленская,3,Дизайнерский ремонт,33550000,664356
https://www.cian.ru/sale/flat/315879291/,29,1,Филатов Луг,13,Евроремонт,6500000,224138
https://www.cian.ru/sale/flat/315551766/,50.5,1,Парк Победы,17,,45200000,895050
https://www.cian.ru/sale/flat/315286310/,40.5,1,Раменки,10,,33000000,814815
https://www.cian.ru/sale/flat/315806595/,30,1,Бабушкинская,4,,9399000,313300
https://www.cian.ru/sale/flat/315866153/,43,1,Шелепиха,14,,21700000,504651
https://www.cian.ru/sale/flat/315419658/,40,1,Алтуфьево,5,,12300000,307500
https://www.cian.ru/sale/flat/315441530/,29.3,1,Кедровая,10,,8600000,293515
https://www.cian.ru/sale/flat/314396733/,38.9,1,Пролетарская,13,,12950000,332905
https://www.cian.ru/sale/flat/306867070/,41.1,1,Динамо,17,,33000000,802920
https://www.cian.ru/sale/flat/315144962/,39,1,Коломенская,17,,13000000,333333
https://www.cian.ru/sale/flat/315557965/,47,1,Юго-Западная,3,,27400000,582979
https://www.cian.ru/sale/flat/294926973/,36.9,1,Братиславская,12,,8800000,238482
https://www.cian.ru/sale/flat/315680154/,35.6,1,Калужская,10,Дизайнерский ремонт,13500000,379213
https://www.cian.ru/sale/flat/313807891/,40.2,1,Электрозаводская,13,,16200000,402985
https://www.cian.ru/sale/flat/315404296/,34.8,1,Марксистская,12,,16500000,474138
https://www.cian.ru/sale/flat/314793342/,32.6,1,Битцевский парк,19,,8800000,269939
